1161 Eucaliptos Ligeira - SoilR40 A 10 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 20 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 30 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 40 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 50 cm #1201[%],,1161 Eucaliptos Ligeira - SoilR40 A 60 cm #1201[%],
2019-05-28 00:04:10.0,25.47,2019-05-28 00:04:10.0,29.68,2019-05-28 00:04:10.0,24.52,2019-05-28 00:04:10.0,25.4,2019-05-28 00:04:10.0,18.56,2019-05-28 00:04:10.0,14.69
2019-05-28 00:34:10.0,25.23,2019-05-28 00:34:10.0,29.52,2019-05-28 00:34:10.0,24.39,2019-05-28 00:34:10.0,25.3,2019-05-28 00:34:10.0,18.5,2019-05-28 00:34:10.0,14.69
2019-05-28 01:04:10.0,25,2019-05-28 01:04:10.0,29.33,2019-05-28 01:04:10.0,24.25,2019-05-28 01:04:10.0,25.18,2019-05-28 01:04:10.0,18.42,2019-05-28 01:04:10.0,14.68
2019-05-28 01:34:10.0,24.78,2019-05-28 01:34:10.0,29.15,2019-05-28 01:34:10.0,24.1,2019-05-28 01:34:10.0,25.04,2019-05-28 01:34:10.0,18.36,2019-05-28 01:34:10.0,14.67
2019-05-28 02:04:10.0,24.57,2019-05-28 02:04:10.0,29.06,2019-05-28 02:04:10.0,23.97,2019-05-28 02:04:10.0,24.94,2019-05-28 02:04:10.0,18.29,2019-05-28 02:04:10.0,14.66
2019-05-28 02:34:10.0,24.38,2019-05-28 02:34:10.0,28.95,2019-05-28 02:34:10.0,23.83,2019-05-28 02:34:10.0,24.85,2019-05-28 02:34:10.0,18.22,2019-05-28 02:34:10.0,14.65
2019-05-28 03:04:18.0,24.15,2019-05-28 03:04:18.0,28.88,2019-05-28 03:04:18.0,23.71,2019-05-28 03:04:18.0,24.74,2019-05-28 03:04:18.0,18.15,2019-05-28 03:04:18.0,14.65
2019-05-28 03:34:18.0,23.95,2019-05-28 03:34:18.0,28.76,2019-05-28 03:34:18.0,23.61,2019-05-28 03:34:18.0,24.64,2019-05-28 03:34:18.0,18.07,2019-05-28 03:34:18.0,14.63
2019-05-28 04:04:18.0,23.78,2019-05-28 04:04:18.0,28.69,2019-05-28 04:04:18.0,23.5,2019-05-28 04:04:18.0,24.48,2019-05-28 04:04:18.0,18.01,2019-05-28 04:04:18.0,14.62
2019-05-28 04:34:18.0,23.61,2019-05-28 04:34:18.0,28.59,2019-05-28 04:34:18.0,23.39,2019-05-28 04:34:18.0,24.39,2019-05-28 04:34:18.0,17.93,2019-05-28 04:34:18.0,14.61
2019-05-28 05:04:18.0,23.46,2019-05-28 05:04:18.0,28.51,2019-05-28 05:04:18.0,23.31,2019-05-28 05:04:18.0,24.28,2019-05-28 05:04:18.0,17.85,2019-05-28 05:04:18.0,14.6
2019-05-28 05:34:18.0,23.28,2019-05-28 05:34:18.0,28.42,2019-05-28 05:34:18.0,23.21,2019-05-28 05:34:18.0,24.21,2019-05-28 05:34:18.0,17.78,2019-05-28 05:34:18.0,14.58
2019-05-28 06:04:30.0,23.12,2019-05-28 06:04:30.0,28.32,2019-05-28 06:04:30.0,23.12,2019-05-28 06:04:30.0,24.11,2019-05-28 06:04:30.0,17.71,2019-05-28 06:04:30.0,14.55
2019-05-28 06:34:30.0,22.98,2019-05-28 06:34:30.0,28.24,2019-05-28 06:34:30.0,23.03,2019-05-28 06:34:30.0,24.02,2019-05-28 06:34:30.0,17.63,2019-05-28 06:34:30.0,14.53
2019-05-28 07:04:30.0,22.85,2019-05-28 07:04:30.0,28.15,2019-05-28 07:04:30.0,22.91,2019-05-28 07:04:30.0,23.93,2019-05-28 07:04:30.0,17.56,2019-05-28 07:04:30.0,14.51
2019-05-28 07:34:30.0,22.72,2019-05-28 07:34:30.0,28.07,2019-05-28 07:34:30.0,22.83,2019-05-28 07:34:30.0,23.85,2019-05-28 07:34:30.0,17.49,2019-05-28 07:34:30.0,14.48
2019-05-28 08:04:30.0,22.58,2019-05-28 08:04:30.0,27.98,2019-05-28 08:04:30.0,22.74,2019-05-28 08:04:30.0,23.77,2019-05-28 08:04:30.0,17.43,2019-05-28 08:04:30.0,14.43
2019-05-28 08:34:30.0,22.44,2019-05-28 08:34:30.0,27.94,2019-05-28 08:34:30.0,22.66,2019-05-28 08:34:30.0,23.7,2019-05-28 08:34:30.0,17.37,2019-05-28 08:34:30.0,14.39
2019-05-28 09:04:38.0,22.3,2019-05-28 09:04:38.0,27.86,2019-05-28 09:04:38.0,22.58,2019-05-28 09:04:38.0,23.6,2019-05-28 09:04:38.0,17.3,2019-05-28 09:04:38.0,14.34
2019-05-28 09:34:38.0,22.19,2019-05-28 09:34:38.0,27.76,2019-05-28 09:34:38.0,22.5,2019-05-28 09:34:38.0,23.51,2019-05-28 09:34:38.0,17.23,2019-05-28 09:34:38.0,14.3
2019-05-28 10:04:38.0,22.06,2019-05-28 10:04:38.0,27.68,2019-05-28 10:04:38.0,22.43,2019-05-28 10:04:38.0,23.42,2019-05-28 10:04:38.0,17.17,2019-05-28 10:04:38.0,14.27
2019-05-28 10:34:38.0,21.88,2019-05-28 10:34:38.0,27.57,2019-05-28 10:34:38.0,22.34,2019-05-28 10:34:38.0,23.34,2019-05-28 10:34:38.0,17.1,2019-05-28 10:34:38.0,14.23
2019-05-28 11:04:38.0,21.69,2019-05-28 11:04:38.0,27.43,2019-05-28 11:04:38.0,22.26,2019-05-28 11:04:38.0,23.26,2019-05-28 11:04:38.0,17.03,2019-05-28 11:04:38.0,14.19
2019-05-28 11:34:38.0,21.49,2019-05-28 11:34:38.0,27.33,2019-05-28 11:34:38.0,22.19,2019-05-28 11:34:38.0,23.18,2019-05-28 11:34:38.0,16.97,2019-05-28 11:34:38.0,14.16
