2079 Eucaliptos - SoilR40 A 10 cm #1201[%],,2079 Eucaliptos - SoilR40 A 20 cm #1201[%],,2079 Eucaliptos - SoilR40 A 30 cm #1201[%],,2079 Eucaliptos - SoilR40 A 40 cm #1201[%],,2079 Eucaliptos - SoilR40 A 50 cm #1201[%],,2079 Eucaliptos - SoilR40 A 60 cm #1201[%],
2019-05-28 00:03:00.0,18.64,2019-05-28 00:03:00.0,19.78,2019-05-28 00:03:00.0,20.85,2019-05-28 00:03:00.0,15.58,2019-05-28 00:03:00.0,20.95,2019-05-28 00:03:00.0,18.27
2019-05-28 00:33:06.0,18.61,2019-05-28 00:33:06.0,19.7,2019-05-28 00:33:06.0,20.76,2019-05-28 00:33:06.0,15.48,2019-05-28 00:33:06.0,20.87,2019-05-28 00:33:06.0,18.23
2019-05-28 01:03:06.0,18.57,2019-05-28 01:03:06.0,19.64,2019-05-28 01:03:06.0,20.66,2019-05-28 01:03:06.0,15.41,2019-05-28 01:03:06.0,20.79,2019-05-28 01:03:06.0,18.2
2019-05-28 01:33:06.0,18.54,2019-05-28 01:33:06.0,19.58,2019-05-28 01:33:06.0,20.57,2019-05-28 01:33:06.0,15.32,2019-05-28 01:33:06.0,20.73,2019-05-28 01:33:06.0,18.16
2019-05-28 02:03:06.0,18.52,2019-05-28 02:03:06.0,19.53,2019-05-28 02:03:06.0,20.5,2019-05-28 02:03:06.0,15.25,2019-05-28 02:03:06.0,20.66,2019-05-28 02:03:06.0,18.14
2019-05-28 02:33:06.0,18.49,2019-05-28 02:33:06.0,19.47,2019-05-28 02:33:06.0,20.42,2019-05-28 02:33:06.0,15.17,2019-05-28 02:33:06.0,20.6,2019-05-28 02:33:06.0,18.11
2019-05-28 03:03:06.0,18.47,2019-05-28 03:03:06.0,19.43,2019-05-28 03:03:06.0,20.34,2019-05-28 03:03:06.0,15.09,2019-05-28 03:03:06.0,20.54,2019-05-28 03:03:06.0,18.09
2019-05-28 03:33:20.0,18.44,2019-05-28 03:33:20.0,19.4,2019-05-28 03:33:20.0,20.26,2019-05-28 03:33:20.0,15.02,2019-05-28 03:33:20.0,20.49,2019-05-28 03:33:20.0,18.07
2019-05-28 04:03:20.0,18.42,2019-05-28 04:03:20.0,19.35,2019-05-28 04:03:20.0,20.19,2019-05-28 04:03:20.0,14.95,2019-05-28 04:03:20.0,20.43,2019-05-28 04:03:20.0,18.05
2019-05-28 04:33:20.0,18.4,2019-05-28 04:33:20.0,19.33,2019-05-28 04:33:20.0,20.12,2019-05-28 04:33:20.0,14.89,2019-05-28 04:33:20.0,20.39,2019-05-28 04:33:20.0,18.03
2019-05-28 05:03:20.0,18.38,2019-05-28 05:03:20.0,19.3,2019-05-28 05:03:20.0,20.06,2019-05-28 05:03:20.0,14.83,2019-05-28 05:03:20.0,20.35,2019-05-28 05:03:20.0,18.02
2019-05-28 05:33:20.0,18.36,2019-05-28 05:33:20.0,19.26,2019-05-28 05:33:20.0,19.99,2019-05-28 05:33:20.0,14.75,2019-05-28 05:33:20.0,20.3,2019-05-28 05:33:20.0,18
2019-05-28 06:03:20.0,18.35,2019-05-28 06:03:20.0,19.23,2019-05-28 06:03:20.0,19.94,2019-05-28 06:03:20.0,14.7,2019-05-28 06:03:20.0,20.26,2019-05-28 06:03:20.0,17.99
2019-05-28 06:33:28.0,18.33,2019-05-28 06:33:28.0,19.2,2019-05-28 06:33:28.0,19.89,2019-05-28 06:33:28.0,14.65,2019-05-28 06:33:28.0,20.23,2019-05-28 06:33:28.0,17.98
2019-05-28 07:03:28.0,18.3,2019-05-28 07:03:28.0,19.17,2019-05-28 07:03:28.0,19.84,2019-05-28 07:03:28.0,14.59,2019-05-28 07:03:28.0,20.19,2019-05-28 07:03:28.0,17.97
2019-05-28 07:33:28.0,18.28,2019-05-28 07:33:28.0,19.14,2019-05-28 07:33:28.0,19.79,2019-05-28 07:33:28.0,14.54,2019-05-28 07:33:28.0,20.16,2019-05-28 07:33:28.0,17.96
2019-05-28 08:03:28.0,18.24,2019-05-28 08:03:28.0,19.11,2019-05-28 08:03:28.0,19.73,2019-05-28 08:03:28.0,14.49,2019-05-28 08:03:28.0,20.12,2019-05-28 08:03:28.0,17.94
2019-05-28 08:33:28.0,18.18,2019-05-28 08:33:28.0,19.07,2019-05-28 08:33:28.0,19.69,2019-05-28 08:33:28.0,14.44,2019-05-28 08:33:28.0,20.1,2019-05-28 08:33:28.0,17.93
2019-05-28 09:03:28.0,18.1,2019-05-28 09:03:28.0,19.04,2019-05-28 09:03:28.0,19.64,2019-05-28 09:03:28.0,14.4,2019-05-28 09:03:28.0,20.06,2019-05-28 09:03:28.0,17.92
2019-05-28 09:33:40.0,18,2019-05-28 09:33:40.0,18.98,2019-05-28 09:33:40.0,19.58,2019-05-28 09:33:40.0,14.37,2019-05-28 09:33:40.0,20.04,2019-05-28 09:33:40.0,17.9
2019-05-28 10:03:40.0,17.89,2019-05-28 10:03:40.0,18.91,2019-05-28 10:03:40.0,19.51,2019-05-28 10:03:40.0,14.31,2019-05-28 10:03:40.0,20,2019-05-28 10:03:40.0,17.89
2019-05-28 10:33:40.0,17.76,2019-05-28 10:33:40.0,18.84,2019-05-28 10:33:40.0,19.44,2019-05-28 10:33:40.0,14.26,2019-05-28 10:33:40.0,19.98,2019-05-28 10:33:40.0,17.86
2019-05-28 11:03:40.0,17.62,2019-05-28 11:03:40.0,18.75,2019-05-28 11:03:40.0,19.37,2019-05-28 11:03:40.0,14.23,2019-05-28 11:03:40.0,19.95,2019-05-28 11:03:40.0,17.85
2019-05-28 11:33:40.0,17.47,2019-05-28 11:33:40.0,18.65,2019-05-28 11:33:40.0,19.29,2019-05-28 11:33:40.0,14.19,2019-05-28 11:33:40.0,19.93,2019-05-28 11:33:40.0,17.84
2019-05-28 12:03:40.0,17.31,2019-05-28 12:03:40.0,18.55,2019-05-28 12:03:40.0,19.21,2019-05-28 12:03:40.0,14.13,2019-05-28 12:03:40.0,19.9,2019-05-28 12:03:40.0,17.84
2019-05-28 12:33:50.0,17.17,2019-05-28 12:33:50.0,18.45,2019-05-28 12:33:50.0,19.12,2019-05-28 12:33:50.0,14.08,2019-05-28 12:33:50.0,19.87,2019-05-28 12:33:50.0,17.83
2019-05-28 13:03:50.0,17.02,2019-05-28 13:03:50.0,18.34,2019-05-28 13:03:50.0,19.02,2019-05-28 13:03:50.0,14.02,2019-05-28 13:03:50.0,19.85,2019-05-28 13:03:50.0,17.82
2019-05-28 13:33:50.0,16.88,2019-05-28 13:33:50.0,18.22,2019-05-28 13:33:50.0,18.93,2019-05-28 13:33:50.0,13.97,2019-05-28 13:33:50.0,19.83,2019-05-28 13:33:50.0,17.81
2019-05-28 14:03:50.0,16.75,2019-05-28 14:03:50.0,18.11,2019-05-28 14:03:50.0,18.83,2019-05-28 14:03:50.0,13.91,2019-05-28 14:03:50.0,19.81,2019-05-28 14:03:50.0,17.81
2019-05-28 14:33:50.0,16.61,2019-05-28 14:33:50.0,18,2019-05-28 14:33:50.0,18.73,2019-05-28 14:33:50.0,13.87,2019-05-28 14:33:50.0,19.78,2019-05-28 14:33:50.0,17.81
2019-05-28 15:03:50.0,16.47,2019-05-28 15:03:50.0,17.88,2019-05-28 15:03:50.0,18.63,2019-05-28 15:03:50.0,13.81,2019-05-28 15:03:50.0,19.76,2019-05-28 15:03:50.0,17.81
2019-05-28 15:34:00.0,16.34,2019-05-28 15:34:00.0,17.77,2019-05-28 15:34:00.0,18.54,2019-05-28 15:34:00.0,13.75,2019-05-28 15:34:00.0,19.73,2019-05-28 15:34:00.0,17.8
2019-05-28 16:04:00.0,16.22,2019-05-28 16:04:00.0,17.65,2019-05-28 16:04:00.0,18.44,2019-05-28 16:04:00.0,13.69,2019-05-28 16:04:00.0,19.71,2019-05-28 16:04:00.0,17.8
